@relation 'chwilowki-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-weka.filters.supervised.attribute.Discretize-R2,4,7,8-weka.filters.unsupervised.attribute.Remove-R4'

@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto {'\'(-inf-544.255]\'','\'(544.255-1231.075]\'','\'(1231.075-inf)\''}
@attribute ktore_rolowanie {1,0,2,3,4,5,6}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {k,m}
@attribute okres_pobieral_dochod {'\'(-inf-8.5]\'','\'(8.5-inf)\''}
@attribute okres_bedzie_pobieral_dochod {'\'(-inf-32.5]\'','\'(32.5-inf)\''}
@attribute status_pozyczki {splacona_cz_splacona,odmowa_windykacja_windykacja_sp}

@data
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
12,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',1,'\'(42.8-55.2]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',0,'\'(30.4-42.8]\'',m,'\'(8.5-inf)\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(-inf-30.4]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',1,'\'(42.8-55.2]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(-inf-8.5]\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
98,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
99,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(544.255-1231.075]\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',0,'\'(-inf-30.4]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
98,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
16,'\'(1231.075-inf)\'',0,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
99,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(-inf-30.4]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
99,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(-inf-544.255]\'',0,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',1,'\'(-inf-30.4]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(-inf-30.4]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
12,'\'(544.255-1231.075]\'',1,'\'(42.8-55.2]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',2,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
98,'\'(1231.075-inf)\'',0,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
17,'\'(1231.075-inf)\'',1,'\'(-inf-30.4]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',0,'\'(30.4-42.8]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(-inf-32.5]\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
17,'\'(-inf-544.255]\'',0,'\'(-inf-30.4]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',odmowa_windykacja_windykacja_sp
16,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
12,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',0,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(1231.075-inf)\'',2,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',0,'\'(-inf-30.4]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',0,'\'(-inf-30.4]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
16,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',0,'\'(30.4-42.8]\'',k,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',k,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(-inf-30.4]\'',k,'\'(-inf-8.5]\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
11,'\'(1231.075-inf)\'',0,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
12,'\'(1231.075-inf)\'',1,'\'(-inf-30.4]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(1231.075-inf)\'',0,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',0,'\'(55.2-67.6]\'',k,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(544.255-1231.075]\'',1,'\'(67.6-inf)\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
16,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(544.255-1231.075]\'',0,'\'(42.8-55.2]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',odmowa_windykacja_windykacja_sp
13,'\'(1231.075-inf)\'',1,'\'(67.6-inf)\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
12,'\'(1231.075-inf)\'',1,'\'(-inf-30.4]\'',m,'\'(-inf-8.5]\'','\'(-inf-32.5]\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',0,'\'(30.4-42.8]\'',m,'\'(-inf-8.5]\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(42.8-55.2]\'',m,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
13,'\'(1231.075-inf)\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
17,'\'(544.255-1231.075]\'',1,'\'(55.2-67.6]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
11,'\'(1231.075-inf)\'',1,'\'(30.4-42.8]\'',k,'\'(8.5-inf)\'','\'(32.5-inf)\'',splacona_cz_splacona
